"towntype_Pullman","saledate","revenue","tot_items","avg_price_peritem","perc.cart_oil","perc.hash_kief","perc.wax_shatter_dab_resin","perc.uncategorized"
"Pullman",2015-12-31,4311.2393,88,48.9913556818182,0.261363636363636,0,0.590909090909091,0.136363636363636
"Pullman",2016-01-01,1290.5263,29,44.5009068965517,0.172413793103448,0,0.827586206896552,0
"Pullman",2016-01-02,3307.317,65,50.8818,0.169230769230769,0,0.661538461538462,0.169230769230769
"Pullman",2016-01-03,2939.6364,65,45.2251753846154,0.184615384615385,0,0.692307692307692,0.107692307692308
"Pullman",2016-01-04,2703.6813,61,44.3226442622951,0.147540983606557,0,0.770491803278688,0.0819672131147541
"Pullman",2016-01-05,3283.0954,68,48.2808147058824,0.264705882352941,0,0.617647058823529,0.117647058823529
"Pullman",2016-01-06,3412.2864,78,43.7472615384615,0.243589743589744,0,0.67948717948718,0.0769230769230769
"Pullman",2016-01-07,3069.9919,77,39.8700246753247,0.0909090909090909,0,0.779220779220779,0.12987012987013
"Pullman",2016-01-08,4011.6066,85,47.1953717647059,0.2,0.0117647058823529,0.588235294117647,0.2
"Pullman",2016-01-09,4286.9903,96,44.6561489583333,0.15625,0,0.447916666666667,0.395833333333333
"Pullman",2016-01-10,2301.5041,52,44.2596942307692,0.0769230769230769,0,0.615384615384615,0.307692307692308
"Pullman",2016-01-11,3763.1845,77,48.872525974026,0.285714285714286,0,0.532467532467532,0.181818181818182
"Pullman",2016-01-12,3660.6811,77,47.541312987013,0.25974025974026,0,0.584415584415584,0.155844155844156
"Pullman",2016-01-13,2849.4356,55,51.80792,0.145454545454545,0,0.618181818181818,0.236363636363636
"Pullman",2016-01-14,4226.8747,83,50.9262012048193,0.168674698795181,0,0.566265060240964,0.265060240963855
"Pullman",2016-01-15,4568.3609,95,48.0880094736842,0.231578947368421,0.0105263157894737,0.568421052631579,0.189473684210526
"Pullman",2016-01-16,3439.6864,75,45.8624853333333,0.106666666666667,0.0133333333333333,0.706666666666667,0.173333333333333
"Pullman",2016-01-17,3499.9116,79,44.3026784810127,0.10126582278481,0,0.772151898734177,0.126582278481013
"Pullman",2016-01-18,2868.6978,63,45.5348857142857,0.126984126984127,0,0.634920634920635,0.238095238095238
"Pullman",2016-01-19,2906.5646,59,49.263806779661,0.220338983050847,0.0677966101694915,0.508474576271186,0.203389830508475
"Pullman",2016-01-20,4107.9313,88,46.6810375,0.261363636363636,0.0113636363636364,0.545454545454545,0.181818181818182
"Pullman",2016-01-21,3463.5792,70,49.4797028571429,0.314285714285714,0.0285714285714286,0.471428571428571,0.185714285714286
"Pullman",2016-01-22,4844.2378,98,49.4309979591837,0.23469387755102,0.0306122448979592,0.540816326530612,0.193877551020408
